KPKNL,KATEGORI  PEMOHON LELANG/PENJUAL,JENIS LELANG,JAMINAN PENAWARAN LELANG,KATEGORI BARANG,UMKM,SIFAT BARANG,Jenis Lelang Umum,Quartal,Jenis Lelang Umum,NILAI LIMIT,Bulan Lelang,Tahun Lelang,JUMLAH PESERTA LELANG,STATUS LELANG,JENIS PENAWARAN
KPKNL Dumai,PEMERINTAH DAERAH,BARANG MILIK DAERAH,700000.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,3,Non Eksekusi Wajib,1743000,7,2021,5,LAKU,Internet Open Bidding
KPKNL Dumai,PEMERINTAH DAERAH,BARANG MILIK DAERAH,11660000.0,"Roda 4, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,3,Non Eksekusi Wajib,29248000,9,2021,1,LAKU,Internet Open Bidding
KPKNL Pekan Baru,UMUM/PRIBADI,PASAL 6 UUHT,0.0,Tanah,Tidak,BTB,Eksekusi,2,Eksekusi,67500000,4,2021,0,LAKU,Internet Open Bidding
KPKNL Pekan Baru,PT (NON PERSERO),BARANG MILIK BUMD (NON PERSERO),0.0,"Roda 4, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,31434000,6,2021,0,LAKU,Internet Open Bidding
KPKNL Pekan Baru,PT (NON PERSERO),BARANG MILIK BUMD (NON PERSERO),0.0,"Roda 4, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,52472000,6,2021,0,LAKU,Internet Open Bidding
KPKNL Dumai,PEMERINTAH DAERAH,BARANG MILIK DAERAH,18980000.0,"Roda 4, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,3,Non Eksekusi Wajib,47441000,7,2021,2,LAKU,Internet Open Bidding
KPKNL Pekan Baru,PEMERINTAH DAERAH,BARANG MILIK DAERAH,0.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,4311000,12,2021,4,LAKU,Internet Open Bidding
KPKNL Pekan Baru,BANK PERKREDITAN RAKYAT,PASAL 6 UUHT,0.0,Tanah dan Bangunan,Tidak,BTB,Eksekusi,2,Eksekusi,83600000,4,2021,0,LAKU,Internet Open Bidding
KPKNL Padang,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,100000.0,Bongkaran,Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,200000,4,2021,2,LAKU,Internet Open Bidding
KPKNL Padang,PEMERINTAH DAERAH,BARANG MILIK DAERAH,360000.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,1200000,4,2021,5,LAKU,Internet Open Bidding
KPKNL Padang,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,225000.0,Bongkaran,Tidak,BTB,Non Eksekusi Wajib,3,Non Eksekusi Wajib,450000,7,2021,5,LAKU,Internet Open Bidding
KPKNL Padang,KEJAKSAAN,BARANG RAMPASAN,300000.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Eksekusi,3,Eksekusi,606518,8,2021,8,LAKU,Internet Open Bidding
KPKNL Padang,KEJAKSAAN,BARANG RAMPASAN,500000.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Eksekusi,3,Eksekusi,1060320,8,2021,10,LAKU,Internet Open Bidding
KPKNL Padang,PEMERINTAH DAERAH,BARANG MILIK DAERAH,700000.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,1400000,10,2021,6,LAKU,Internet Open Bidding
KPKNL Pekan Baru,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,0.0,"Roda 4, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,20947000,4,2021,0,LAKU,Internet Open Bidding
KPKNL Pekan Baru,KEMENTERIAN/LEMBAGA,BARANG MILIK BPJS,0.0,Inventaris,Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,400000,4,2021,0,WANPRESTASI,Internet Open Bidding
KPKNL Pekan Baru,KEMENTERIAN/LEMBAGA,BARANG MILIK BPJS,0.0,Inventaris,Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,400000,4,2021,0,WANPRESTASI,Internet Open Bidding
KPKNL Pekan Baru,PEMERINTAH DAERAH,BARANG MILIK DAERAH,0.0,"Roda 4, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,3,Non Eksekusi Wajib,3220000,9,2021,0,LAKU,Internet Open Bidding
KPKNL Pekan Baru,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,0.0,Inventaris,Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,861800,11,2021,0,LAKU,Internet Open Bidding
KPKNL Pekan Baru,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,3000000.0,Inventaris,Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,6487500,12,2021,29,WANPRESTASI,Internet Open Bidding
KPKNL Padang,PEMERINTAH DAERAH,BARANG MILIK DAERAH,4000000.0,"Roda 4, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,8000000,11,2021,18,LAKU,Internet Open Bidding
KPKNL Pekan Baru,PT (NON PERSERO),BARANG MILIK BUMD (NON PERSERO),0.0,"Roda 4, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,44458000,6,2021,0,LAKU,Internet Open Bidding
KPKNL Pekan Baru,PT (NON PERSERO),BARANG MILIK BUMD (NON PERSERO),0.0,"Roda 4, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,28576000,6,2021,0,LAKU,Internet Open Bidding
KPKNL Pekan Baru,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,0.0,"Roda 4, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,3,Non Eksekusi Wajib,45000000,9,2021,0,LAKU,Internet Open Bidding
KPKNL Pekan Baru,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,0.0,"Roda 4, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,3,Non Eksekusi Wajib,55000000,9,2021,0,LAKU,Internet Open Bidding
KPKNL Pekan Baru,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,0.0,"Roda 4, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,3,Non Eksekusi Wajib,55000000,9,2021,0,LAKU,Internet Open Bidding
KPKNL Padang,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,200000.0,"Roda 4, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,3,Non Eksekusi Wajib,450000,9,2021,9,LAKU,Internet Open Bidding
KPKNL Pekan Baru,KEMENTERIAN/LEMBAGA,BMN HABIS PAKAI EKS PEMILU,1000000.0,Kertas+Inventaris Eks Pemilu,Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,4636100,12,2020,0,WANPRESTASI,Internet Open Bidding
KPKNL Padang,PEMERINTAH DAERAH,BARANG MILIK DAERAH,2808000.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,5616000,10,2021,31,LAKU,Internet Open Bidding
KPKNL Batam,"PT. BANK TABUNGAN NEGARA (PERSERO), Tbk",PASAL 6 UUHT,0.0,Tanah dan Bangunan,Tidak,BTB,Eksekusi,4,Eksekusi,960300000,12,2021,0,LAKU,Internet Open Bidding
KPKNL Batam,BANK PERKREDITAN RAKYAT,PASAL 6 UUHT,0.0,Tanah dan Bangunan,Tidak,BTB,Eksekusi,2,Eksekusi,125000000,6,2021,0,LAKU,Internet Open Bidding
KPKNL Batam,BANK PERKREDITAN RAKYAT,PASAL 6 UUHT,0.0,Tanah dan Bangunan,Tidak,BTB,Eksekusi,4,Eksekusi,250000000,12,2021,0,LAKU,Internet Open Bidding
KPKNL Batam,"PT. BANK NEGARA INDONESIA (PERSERO), Tbk",PASAL 6 UUHT,0.0,Tanah dan Bangunan,Tidak,BTB,Eksekusi,4,Eksekusi,144300000,10,2021,0,LAKU,Internet Open Bidding
KPKNL Padang,PEMERINTAH DAERAH,BARANG MILIK DAERAH,402000.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,805000,10,2021,3,LAKU,Internet Open Bidding
KPKNL Padang,PEMERINTAH DAERAH,BARANG MILIK DAERAH,742000.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,1484000,10,2021,1,LAKU,Internet Open Bidding
KPKNL Pekan Baru,PENGADILAN,PENGADILAN,0.0,Tanah dan Bangunan,Tidak,BTB,Eksekusi,2,Eksekusi,102000000,4,2021,0,LAKU,Internet Open Bidding
KPKNL Padang,PEMERINTAH DAERAH,BARANG MILIK DAERAH,116820000.0,Lainnya,Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,292050000,11,2021,3,LAKU,Internet Open Bidding
KPKNL Batam,"PT. BANK RAKYAT INDONESIA (PERSERO), Tbk",PASAL 6 UUHT,0.0,Tanah dan Bangunan,Tidak,BTB,Eksekusi,1,Eksekusi,166000000,1,2021,0,LAKU,Internet Open Bidding
KPKNL Padang,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,1400000.0,Inventaris,Tidak,BB,Non Eksekusi Wajib,1,Non Eksekusi Wajib,2800991,3,2021,2,LAKU,Internet Open Bidding
KPKNL Padang,KEMENTERIAN/LEMBAGA,BARANG MILIK BPJS,12350000.0,"Roda 4, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,1,Non Eksekusi Wajib,61666667,3,2021,3,LAKU,Internet Open Bidding
KPKNL Padang,"PT. BANK MANDIRI (PERSERO), Tbk",PASAL 6 UUHT,18000000.0,Tanah dan Bangunan,Tidak,BTB,Eksekusi,4,Eksekusi,58116000,10,2021,1,LAKU,Internet Open Bidding
KPKNL Dumai,"PT. BANK RAKYAT INDONESIA (PERSERO), Tbk",PASAL 6 UUHT,50000000.0,Tanah dan Bangunan,Tidak,BTB,Eksekusi,4,Eksekusi,200000000,11,2021,1,LAKU,Internet Open Bidding
KPKNL Batam,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,0.0,"Roda 4, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,3,Non Eksekusi Wajib,7501000,7,2021,0,LAKU,Internet Open Bidding
KPKNL Batam,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,0.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,3,Non Eksekusi Wajib,935000,7,2021,0,LAKU,Internet Open Bidding
KPKNL Batam,BANK PERKREDITAN RAKYAT,PASAL 6 UUHT,0.0,Tanah dan Bangunan,Tidak,BTB,Eksekusi,3,Eksekusi,250000000,7,2021,0,LAKU,Internet Open Bidding
KPKNL Padang,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,360000.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,1200000,10,2021,31,LAKU,Internet Open Bidding
KPKNL Padang,PEMERINTAH DAERAH,BARANG MILIK DAERAH,1900000.0,Paket Roda 2,Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,3800000,10,2021,14,LAKU,Internet Open Bidding
KPKNL Padang,PEMERINTAH DAERAH,BARANG MILIK DAERAH,500000.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,1000000,11,2021,11,LAKU,Internet Open Bidding
KPKNL Padang,PEMERINTAH DAERAH,BARANG MILIK DAERAH,480000.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,1200000,12,2021,20,LAKU,Internet Open Bidding
KPKNL Padang,PEMERINTAH DAERAH,BARANG MILIK DAERAH,2808000.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,5616000,12,2021,4,LAKU,Internet Open Bidding
KPKNL Pekan Baru,KEMENTERIAN/LEMBAGA,BARANG MILIK BPJS,0.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,2450000,4,2021,0,LAKU,Internet Open Bidding
KPKNL Pekan Baru,KEMENTERIAN/LEMBAGA,BARANG MILIK BPJS,0.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,1000000,4,2021,0,LAKU,Internet Open Bidding
KPKNL Pekan Baru,PEMERINTAH DAERAH,BARANG MILIK DAERAH,0.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,3,Non Eksekusi Wajib,700000,8,2021,0,LAKU,Internet Open Bidding
KPKNL Padang,PEMERINTAH DAERAH,BARANG MILIK DAERAH,40850000.0,"Roda 4, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,81700000,10,2021,12,LAKU,Internet Open Bidding
KPKNL Batam,KEJAKSAAN,BARANG RAMPASAN,0.0,Apparel/Kain/Fashion Lainnya,Tidak,BB,Eksekusi,3,Eksekusi,948150000,8,2021,0,LAKU,Internet Open Bidding
KPKNL Batam,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,0.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,3,Non Eksekusi Wajib,4349000,7,2021,0,WANPRESTASI,Internet Open Bidding
KPKNL Padang,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,300000.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,1450000,10,2021,20,LAKU,Internet Open Bidding
KPKNL Padang,PEMERINTAH DAERAH,BARANG MILIK DAERAH,1091600.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,2729000,12,2021,2,LAKU,Internet Open Bidding
KPKNL Padang,PEMERINTAH DAERAH,BARANG MILIK DAERAH,683600.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,1709000,12,2021,8,LAKU,Internet Open Bidding
KPKNL Pekan Baru,KEJAKSAAN,BARANG RAMPASAN,0.0,"Roda 4, Kendaraan Bermotor",Tidak,BB,Eksekusi,1,Eksekusi,43629600,2,2021,0,LAKU,Internet Open Bidding
KPKNL Padang,USAHA KECIL DAN MENENGAH,BARANG MILIK PERORANGAN,60000.0,Apparel/Kain/Fashion Lainnya,Ya,BB,Non Eksekusi Sukarela,3,Non Eksekusi Sukarela,135000,7,2021,1,LAKU,Internet Open Bidding
KPKNL Padang,USAHA KECIL DAN MENENGAH,BARANG MILIK PERORANGAN,60000.0,Apparel/Kain/Fashion Lainnya,Ya,BB,Non Eksekusi Sukarela,3,Non Eksekusi Sukarela,135000,7,2021,1,LAKU,Internet Open Bidding
KPKNL Padang,USAHA KECIL DAN MENENGAH,BARANG MILIK PERORANGAN,60000.0,Apparel/Kain/Fashion Lainnya,Ya,BB,Non Eksekusi Sukarela,3,Non Eksekusi Sukarela,135000,7,2021,1,LAKU,Internet Open Bidding
KPKNL Padang,USAHA KECIL DAN MENENGAH,BARANG MILIK PERORANGAN,30000.0,Makanan Kering dan Minuman,Ya,BB,Non Eksekusi Sukarela,3,Non Eksekusi Sukarela,65000,8,2021,13,LAKU,Internet Open Bidding
KPKNL Padang,USAHA KECIL DAN MENENGAH,BARANG MILIK PERORANGAN,30000.0,Makanan Kering dan Minuman,Ya,BB,Non Eksekusi Sukarela,3,Non Eksekusi Sukarela,70000,8,2021,13,LAKU,Internet Open Bidding
KPKNL Padang,KEPOLISIAN,BARANG MILIK NEGARA,750000.0,Material Bangunan yang Akan Dibongkar,Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,1504000,5,2021,1,WANPRESTASI,Internet Open Bidding
KPKNL Batam,BANK PERKREDITAN RAKYAT,PASAL 6 UUHT,0.0,Tanah dan Bangunan,Tidak,BTB,Eksekusi,3,Eksekusi,250000000,7,2021,0,LAKU,Internet Open Bidding
KPKNL Padang,PEMERINTAH DAERAH,BARANG MILIK DAERAH,10410000.0,"Roda 4, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,20820000,12,2021,15,LAKU,Internet Open Bidding
KPKNL Padang,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,8000000.0,Bongkaran,Tidak,BB,Non Eksekusi Wajib,3,Non Eksekusi Wajib,18198000,7,2021,19,LAKU,Internet Open Bidding
KPKNL Batam,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,0.0,Paket R2+R4,Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,126170000,6,2021,0,LAKU,Internet Open Bidding
KPKNL Batam,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,0.0,Scrapt R4,Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,2511000,10,2021,0,LAKU,Internet Open Bidding
KPKNL Padang,PEMERINTAH DAERAH,BARANG MILIK DAERAH,560000.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,3,Non Eksekusi Wajib,1400000,8,2021,9,LAKU,Internet Open Bidding
KPKNL Padang,PEMERINTAH DAERAH,BARANG MILIK DAERAH,614000.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,1228500,10,2021,12,LAKU,Internet Open Bidding
KPKNL Padang,PEMERINTAH DAERAH,BARANG MILIK DAERAH,612000.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,1225000,10,2021,12,LAKU,Internet Open Bidding
KPKNL Padang,PEMERINTAH DAERAH,BARANG MILIK DAERAH,965000.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,1931000,10,2021,6,LAKU,Internet Open Bidding
KPKNL Padang,PEMERINTAH DAERAH,BARANG MILIK DAERAH,479000.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,959200,11,2021,4,LAKU,Internet Open Bidding
KPKNL Padang,PEMERINTAH DAERAH,BARANG MILIK DAERAH,180000.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,450000,12,2021,8,WANPRESTASI,Internet Open Bidding
KPKNL Padang,"PT. BANK RAKYAT INDONESIA (PERSERO), Tbk",PASAL 6 UUHT,10000000.0,Tanah,Tidak,BTB,Eksekusi,4,Eksekusi,50000000,10,2021,1,LAKU,Internet Open Bidding
KPKNL Dumai,"PT. BANK RAKYAT INDONESIA (PERSERO), Tbk",PASAL 6 UUHT,47000000.0,Tanah dan Bangunan,Tidak,BTB,Eksekusi,1,Eksekusi,188000000,3,2021,1,LAKU,Internet Open Bidding
KPKNL Dumai,"PT. BANK RAKYAT INDONESIA (PERSERO), Tbk",PASAL 6 UUHT,17000000.0,Tanah,Tidak,BTB,Eksekusi,1,Eksekusi,68000000,3,2021,1,LAKU,Internet Open Bidding
KPKNL Dumai,"PT. BANK RAKYAT INDONESIA (PERSERO), Tbk",PASAL 6 UUHT,37500000.0,Tanah,Tidak,BTB,Eksekusi,1,Eksekusi,150000000,3,2021,1,LAKU,Internet Open Bidding
KPKNL Dumai,"PT. BANK RAKYAT INDONESIA (PERSERO), Tbk",PASAL 6 UUHT,23500000.0,Tanah,Tidak,BTB,Eksekusi,1,Eksekusi,94000000,3,2021,1,LAKU,Internet Open Bidding
KPKNL Padang,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,70000.0,Inventaris,Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,145000,5,2021,4,LAKU,Internet Open Bidding
KPKNL Padang,PEMERINTAH DAERAH,BARANG MILIK DAERAH,596400.0,Scrapt R2,Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,1491000,12,2021,1,LAKU,Internet Open Bidding
KPKNL Dumai,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,200000.0,Inventaris,Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,670800,6,2021,2,LAKU,Internet Open Bidding
KPKNL Padang,PT. BPD SUMATERA BARAT,PASAL 6 UUHT,175000000.0,Tanah dan Bangunan,Tidak,BTB,Eksekusi,1,Eksekusi,750250000,1,2022,1,LAKU,Internet Open Bidding
KPKNL Batam,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,0.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,3,Non Eksekusi Wajib,1828913,7,2021,0,LAKU,Internet Open Bidding
KPKNL Pekan Baru,KEJAKSAAN,BARANG RAMPASAN,0.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Eksekusi,4,Eksekusi,300000,10,2021,0,LAKU,Internet Open Bidding
KPKNL Pekan Baru,KEJAKSAAN,BARANG RAMPASAN,0.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Eksekusi,4,Eksekusi,350000,10,2021,0,LAKU,Internet Open Bidding
KPKNL Padang,PEMERINTAH DAERAH,BARANG MILIK DAERAH,2438000.0,"Roda 4, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,4876200,11,2021,47,LAKU,Internet Open Bidding
